retrieved_at,cohort_rule,model,intelligence_index_score,reasoning_tokens_per_task,answer_tokens_per_task,reasoning_share_of_output_percent,reasoning_cost_per_task_usd,total_cost_per_task_usd,direct_reasoning_share_of_total_cost_percent,source
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Claude Opus 5,60.692,25670.886,14568.151,63.796,0.641772,2.336463,27.468,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Claude Fable 5,59.861,26838.432,8908.752,75.078,1.25639,3.148707,39.902,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Kimi K3,57.112,18956.462,6827.644,73.52,0.284347,0.855204,33.249,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Claude Opus 4.8,55.692,35058.231,9652.126,78.412,0.876456,2.031834,43.136,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Grok 4.5,53.827,7646.673,7233.973,51.387,0.04588,0.364788,12.577,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Claude Sonnet 5,53.35,57843.876,14517.476,79.938,0.578439,1.716708,33.695,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",GLM 5.2,51.086,38534.568,6863.126,84.882,0.169552,0.594064,28.541,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Muse Spark 1.1,50.623,15163.957,7231.713,67.709,0.064447,0.292409,22.04,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Gemini 3.6 Flash,50.068,13760.717,11921.998,53.58,0.103205,0.556934,18.531,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",DeepSeek V4 Flash 0731,49.928,37069.733,9263.57,80.007,0.01038,0.027131,38.257,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Qwen3.7 Max,45.994,17783.785,5254.932,77.191,0.133378,1.279744,10.422,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",MiniMax M3,44.437,12455.241,12575.661,49.759,0.014946,0.137325,10.884,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",DeepSeek V4 Pro,44.274,29184.377,8163.733,78.142,0.02539,0.047531,53.419,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",MiMo V2.5 Pro,42.239,15007.628,5993.714,71.46,0.013057,0.033991,38.412,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index
2026-08-03,"Non OpenAI entries in the public top 20 Intelligence Index chart, retaining only the highest scoring setting for each exact model.",Inkling,40.737,19609.071,6289.251,75.716,0.178544,0.691153,25.833,https://artificialanalysis.ai/evaluations/artificial-analysis-intelligence-index

