model_name,task_id,replicate,comparable_horizon,reasoning_change_percent
deepseek-v4-flash,cargo-decision-v2,1,True,-20.767494356659142
deepseek-v4-flash,cargo-decision-v2,2,True,-36.74242424242424
deepseek-v4-flash,cargo-decision-v2,3,True,-32.056451612903224
deepseek-v4-flash,data-center-recovery-v2,1,True,-47.863247863247864
deepseek-v4-flash,data-center-recovery-v2,2,True,-41.1402157164869
deepseek-v4-flash,data-center-recovery-v2,3,True,-37.47980613893377
deepseek-v4-flash,flood-decision-v2,1,True,-41.15523465703971
deepseek-v4-flash,flood-decision-v2,2,True,-29.922779922779924
deepseek-v4-flash,flood-decision-v2,3,True,-40.298507462686565
deepseek-v4-flash,grid-decision-v2,1,True,-67.10319539025667
deepseek-v4-flash,grid-decision-v2,2,True,65.92674805771365
deepseek-v4-flash,grid-decision-v2,3,True,-1.1413520632133451
deepseek-v4-flash,hospital-decision-v2,1,True,-44.71153846153846
deepseek-v4-flash,hospital-decision-v2,2,True,-29.049295774647888
deepseek-v4-flash,hospital-decision-v2,3,True,-46.763754045307444
deepseek-v4-flash,manufacturing-recall-v2,1,True,-8.144796380090497
deepseek-v4-flash,manufacturing-recall-v2,2,True,6.466165413533835
deepseek-v4-flash,manufacturing-recall-v2,3,True,-15.875613747954173
deepseek-v4-flash,network-decision-v2,1,True,-16.46825396825397
deepseek-v4-flash,network-decision-v2,2,True,22.29299363057325
deepseek-v4-flash,network-decision-v2,3,True,-28.066528066528065
deepseek-v4-flash,orbital-observation-v2,1,True,-32.6530612244898
deepseek-v4-flash,orbital-observation-v2,2,True,-13.45707656612529
deepseek-v4-flash,orbital-observation-v2,3,True,15.54524361948956
deepseek-v4-flash,rescue-decision-v2,1,True,41.81222707423581
deepseek-v4-flash,rescue-decision-v2,2,True,-22.23926380368098
deepseek-v4-flash,rescue-decision-v2,3,True,16.793893129770993
deepseek-v4-flash,vaccine-decision-v2,1,True,-27.44721689059501
deepseek-v4-flash,vaccine-decision-v2,2,True,-43.292682926829265
deepseek-v4-flash,vaccine-decision-v2,3,True,-58.56
deepseek-v4-flash,water-decision-v2,1,True,-46.017699115044245
deepseek-v4-flash,water-decision-v2,2,True,-40.10989010989011
deepseek-v4-flash,water-decision-v2,3,True,-38.793103448275865
deepseek-v4-flash,wildfire-evacuation-v2,1,True,-47.961630695443645
deepseek-v4-flash,wildfire-evacuation-v2,2,True,-22.92191435768262
deepseek-v4-flash,wildfire-evacuation-v2,3,True,-19.463087248322147
laguna-s-2.1,cargo-decision-v2,1,True,-71.88995215311004
laguna-s-2.1,cargo-decision-v2,2,True,-75.64766839378238
laguna-s-2.1,cargo-decision-v2,3,True,-65.78212290502793
laguna-s-2.1,data-center-recovery-v2,1,True,-4.269513008672448
laguna-s-2.1,data-center-recovery-v2,2,True,-16.770186335403725
laguna-s-2.1,data-center-recovery-v2,3,True,6.3688212927756656
laguna-s-2.1,flood-decision-v2,1,True,-60.78717201166181
laguna-s-2.1,flood-decision-v2,2,True,-20.208604954367665
laguna-s-2.1,flood-decision-v2,3,True,-54.99515033947624
laguna-s-2.1,grid-decision-v2,1,True,-47.16629381058911
laguna-s-2.1,grid-decision-v2,2,True,-20.758738277919864
laguna-s-2.1,grid-decision-v2,3,True,78.74787052810903
laguna-s-2.1,hospital-decision-v2,1,True,-40.95427435387674
laguna-s-2.1,hospital-decision-v2,2,True,-41.533546325878596
laguna-s-2.1,hospital-decision-v2,3,True,-39.68804159445407
laguna-s-2.1,manufacturing-recall-v2,1,True,-36.89892051030422
laguna-s-2.1,manufacturing-recall-v2,2,True,0.30991735537190085
laguna-s-2.1,manufacturing-recall-v2,3,True,-45.95003785011355
laguna-s-2.1,network-decision-v2,1,True,-44.95798319327731
laguna-s-2.1,network-decision-v2,2,True,-47.09851551956815
laguna-s-2.1,network-decision-v2,3,True,-55.75326215895611
laguna-s-2.1,orbital-observation-v2,1,True,-71.09947643979058
laguna-s-2.1,orbital-observation-v2,2,True,-61.43162393162393
laguna-s-2.1,orbital-observation-v2,3,True,-67.9745493107105
laguna-s-2.1,rescue-decision-v2,1,True,-62.922544583444235
laguna-s-2.1,rescue-decision-v2,2,True,66.3907284768212
laguna-s-2.1,rescue-decision-v2,3,True,-22.358029334336216
laguna-s-2.1,vaccine-decision-v2,1,True,-13.157894736842104
laguna-s-2.1,vaccine-decision-v2,2,True,-46.3903743315508
laguna-s-2.1,vaccine-decision-v2,3,True,-20.59447983014862
laguna-s-2.1,water-decision-v2,1,True,-47.68392370572207
laguna-s-2.1,water-decision-v2,2,True,-57.4468085106383
laguna-s-2.1,water-decision-v2,3,True,-40.19253910950662
laguna-s-2.1,wildfire-evacuation-v2,1,True,-48.30769230769231
laguna-s-2.1,wildfire-evacuation-v2,2,True,-62.46913580246913
laguna-s-2.1,wildfire-evacuation-v2,3,True,-55.155010814708
minimax-m3,cargo-decision-v2,1,True,-30.74074074074074
minimax-m3,cargo-decision-v2,2,True,-39.34426229508197
minimax-m3,cargo-decision-v2,3,True,-26.459143968871594
minimax-m3,flood-decision-v2,1,True,95.49295774647888
minimax-m3,flood-decision-v2,2,True,28.08022922636103
minimax-m3,flood-decision-v2,3,True,7.377049180327869
minimax-m3,grid-decision-v2,1,True,-52.72496831432193
minimax-m3,grid-decision-v2,2,True,-72.91841883936081
minimax-m3,grid-decision-v2,3,True,-45.714285714285715
minimax-m3,hospital-decision-v2,1,True,-13.20754716981132
minimax-m3,hospital-decision-v2,2,True,-17.10914454277286
minimax-m3,hospital-decision-v2,3,True,-21.727748691099478
minimax-m3,manufacturing-recall-v2,1,True,-7.0886075949367084
minimax-m3,manufacturing-recall-v2,2,True,-20.051413881748072
minimax-m3,manufacturing-recall-v2,3,True,-9.785202863961814
minimax-m3,network-decision-v2,1,True,-20.689655172413794
minimax-m3,network-decision-v2,2,True,-28.14207650273224
minimax-m3,network-decision-v2,3,True,-29.29936305732484
minimax-m3,rescue-decision-v2,1,True,-74.38256658595641
minimax-m3,rescue-decision-v2,2,True,-37.55244755244755
minimax-m3,rescue-decision-v2,3,True,-45.489815712900096
minimax-m3,vaccine-decision-v2,1,True,-35.93314763231198
minimax-m3,vaccine-decision-v2,2,True,-39.906103286384976
minimax-m3,vaccine-decision-v2,3,True,-41.54589371980676
minimax-m3,water-decision-v2,1,True,-25.6
minimax-m3,water-decision-v2,2,True,0.5813953488372093
minimax-m3,water-decision-v2,3,True,-30.612244897959183
minimax-m3,wildfire-evacuation-v2,1,True,0.0
minimax-m3,wildfire-evacuation-v2,2,True,-31.84713375796178
minimax-m3,wildfire-evacuation-v2,3,True,-24.75049900199601
glm-4.7-flash,cargo-decision-v2,1,True,-67.52910737386804
glm-4.7-flash,cargo-decision-v2,2,True,-53.37620578778135
glm-4.7-flash,cargo-decision-v2,3,True,-66.56760772659733
glm-4.7-flash,data-center-recovery-v2,1,True,-36.657303370786515
glm-4.7-flash,data-center-recovery-v2,2,True,-51.65016501650165
glm-4.7-flash,data-center-recovery-v2,3,True,-49.13385826771653
glm-4.7-flash,manufacturing-recall-v2,1,True,-43.03135888501742
glm-4.7-flash,manufacturing-recall-v2,2,True,-36.56716417910448
glm-4.7-flash,manufacturing-recall-v2,3,True,-39.833333333333336
glm-4.7-flash,orbital-observation-v2,1,True,-74.7612551159618
glm-4.7-flash,orbital-observation-v2,2,True,-73.99650959860384
glm-4.7-flash,orbital-observation-v2,3,True,-50.528169014084504
glm-4.7-flash,rescue-decision-v2,1,False,-27.993779160186627
glm-4.7-flash,rescue-decision-v2,2,True,-40.121580547112465
glm-4.7-flash,rescue-decision-v2,3,False,-78.44961240310077
glm-5.1,cargo-decision-v2,1,True,-1.320754716981132
glm-5.1,cargo-decision-v2,2,True,-12.710280373831775
glm-5.1,cargo-decision-v2,3,True,-18.706293706293707
glm-5.1,data-center-recovery-v2,1,True,-20.069605568445475
glm-5.1,data-center-recovery-v2,2,True,6.961178045515395
glm-5.1,data-center-recovery-v2,3,True,0.24813895781637718
glm-5.1,flood-decision-v2,1,True,-11.934900542495479
glm-5.1,flood-decision-v2,2,True,-20.872865275142313
glm-5.1,flood-decision-v2,3,True,-17.790262172284645
glm-5.1,grid-decision-v2,1,True,-11.499272197962155
glm-5.1,grid-decision-v2,2,True,-51.4161220043573
glm-5.1,grid-decision-v2,3,True,-40.204865556978234
glm-5.1,hospital-decision-v2,1,True,-6.081081081081081
glm-5.1,hospital-decision-v2,2,True,-12.473118279569892
glm-5.1,hospital-decision-v2,3,True,-12.447257383966244
glm-5.1,manufacturing-recall-v2,1,True,-64.39588688946016
glm-5.1,manufacturing-recall-v2,2,True,-28.590250329380765
glm-5.1,manufacturing-recall-v2,3,True,-24.33862433862434
glm-5.1,orbital-observation-v2,1,True,-33.63636363636363
glm-5.1,orbital-observation-v2,2,True,-32.82051282051282
glm-5.1,orbital-observation-v2,3,True,-29.36802973977695
glm-5.1,vaccine-decision-v2,1,True,-25.955734406438633
glm-5.1,vaccine-decision-v2,2,True,-22.84569138276553
glm-5.1,vaccine-decision-v2,3,True,-41.97292069632495
glm-5.1,water-decision-v2,1,True,-20.244328097731238
